Date," Open"," High"," Low"," Close"," Settle Price"," NO_CONTRACTS"," Turnover(in lacs)"," OI"
25-Sep-2018,"          82.85","          84.95","          80.35","          84.55","          84.55","        4769","       23710.76","    13074000"
24-Sep-2018,"          87.15","          87.65","          82.55","          83.45","          83.45","        4682","       23720.10","    16200000"
21-Sep-2018,"          91.25","          92.25","          81.45","          86.70","          86.70","        4839","       25721.18","    20316000"
19-Sep-2018,"          90.50","          91.75","          88.60","          90.45","          90.45","        3311","       17978.57","    21444000"
18-Sep-2018,"          93.50","          95.35","          87.60","          89.85","          89.85","        6002","       32667.73","    22452000"
17-Sep-2018,"          93.40","          95.25","          92.20","          93.80","          93.80","        3396","       19088.08","    22902000"
14-Sep-2018,"          92.20","          94.35","          92.20","          93.70","          93.70","        2051","       11507.38","    22122000"
12-Sep-2018,"          91.20","          92.60","          89.25","          91.80","          91.80","        3350","       18256.56","    22260000"
11-Sep-2018,"          92.40","          94.40","          90.40","          90.80","          90.80","        3347","       18619.67","    22386000"
10-Sep-2018,"          93.00","          94.30","          91.70","          92.05","          92.05","        2827","       15728.12","    22542000"
07-Sep-2018,"          94.10","          95.35","          92.60","          94.60","          94.60","        2415","       13615.41","    21612000"
06-Sep-2018,"          95.45","          96.00","          92.50","          94.05","          94.05","        2990","       16910.51","    21390000"
05-Sep-2018,"          94.95","          95.65","          91.70","          94.65","          94.65","        4823","       27049.41","    21372000"
04-Sep-2018,"          99.70","         100.25","          95.00","          95.40","          95.40","        4443","       25965.78","    21786000"
03-Sep-2018,"         102.50","         103.75","          99.45","         100.05","         100.05","        4430","       27063.36","    22410000"
31-Aug-2018,"          99.40","         101.90","          96.95","         101.25","         101.25","        5582","       33277.11","    22416000"
30-Aug-2018,"          96.00","         101.10","          94.60","         100.50","         100.50","        5596","       32963.72","    22446000"
29-Aug-2018,"          91.65","          96.55","          91.55","          96.10","          96.10","        2612","       14841.17","    15066000"
28-Aug-2018,"          95.15","          95.25","          90.85","          91.90","          91.90","        1579","        8750.73","    11472000"
